project_title,location,contractor,contract_cost_raw,contract_cost_numeric,start_date,completion_date,region,contract_id,data_contractor,data_location
"Flood Control for Urban Core and Central District of Zamboanga City to include Pumping Station and RROW, Zamboanga City (Package II)",ZAMBOANGA DEL SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION) / BENDIMIL CONSTRUCTION & DEVELOPMENT CORP.","198,360,499.96","198,360,499.96",10/11/2018,11/19/2023,Region IX,18J00009,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION) / BENDIMIL CONSTRUCTION & DEVELOPMENT CORP.",ZAMBOANGA DEL SUR
"Almacen River Improvement Project, Hermosa and Orani, Bataan",BATAAN,"TOKWING CONSTRUCTION, CORP.(FOR; TOKWING CONSTRUC","136,302,210.19","136,302,210.19",02/26/2018,08/31/2023,Region III,18C00035,"TOKWING CONSTRUCTION, CORP.(FOR; TOKWING CONSTRUC",BATAAN
"Construction of Drainage System within the vicinity of City Proper Area ( Gen. Luna-Jalandoni-Rizal-J.M. Basa), including Lapaz and Mandurriao, Iloilo City",ILOILO,MGB CONSTRUCTION & TRADING,"183,182,224.27","183,182,224.27",09/06/2018,05/10/2023,Region VI,18G00082,MGB CONSTRUCTION & TRADING,ILOILO
"Construction of Anahawin River Flood Control Structures, Phase 2, Calintaan, Occidental Mindoro",OCCIDENTAL MINDORO,FFJJ CONSTRUCTION,"24,646,157.14","24,646,157.14",04/20/2018,03/27/2023,Region IV-B,18EB0118,FFJJ CONSTRUCTION,OCCIDENTAL MINDORO
"Construction of Amaling River, River Flood Control Structures, Rizal, Occidental Mindoro",OCCIDENTAL MINDORO,FFJJ CONSTRUCTION,"92,738,982.46","92,738,982.46",04/20/2018,02/27/2023,Region IV-B,18EB0114,FFJJ CONSTRUCTION,OCCIDENTAL MINDORO
"Construction of Busuanga River Flood Control Structures (Adela Section), Rizal, Occidental Mindoro",OCCIDENTAL MINDORO,FFJJ CONSTRUCTION,"52,442,670.04","52,442,670.04",04/20/2018,01/02/2023,Region IV-B,18EB0112,FFJJ CONSTRUCTION,OCCIDENTAL MINDORO
"Construction of Anahawin River Flood Control Structures, Phase 1, Calintaan, Occidental Mindoro",OCCIDENTAL MINDORO,FFJJ CONSTRUCTION,"47,088,811.23","47,088,811.23",04/20/2018,11/27/2022,Region IV-B,18EB0117,FFJJ CONSTRUCTION,OCCIDENTAL MINDORO
"Construction of Basey Tide Embankment, Basey, Samar",SAMAR (WESTERN SAMAR),NORTHERN BUILDERS / RIANNE CONSTRUCTION,"227,812,286.37","227,812,286.37",08/14/2019,08/08/2023,Region VIII,19I00115,NORTHERN BUILDERS / RIANNE CONSTRUCTION,SAMAR (WESTERN SAMAR)
"Construction (Completion) of Marikina River Drainage Outfall, Brgy. J. Dela Peña, Marikina City",MARIKINA CITY,C.S.L. CONSTRUCTION CORPORATION / ST. TIMOTHY CONSTRUCTION CORPORATION,"94,907,798.15","94,907,798.15",11/21/2019,11/25/2022,National Capital Region,19O00034,C.S.L. CONSTRUCTION CORPORATION / ST. TIMOTHY CONSTRUCTION CORPORATION,MARIKINA CITY
"Rehabilitation/Upgrading of Drainage System at Gawad Kalinga, Brgy. Marcelo Green, Parañaque City, Metro Manila",PARAÑAQUE CITY,RIMJ CONSTRUCTION SUPPLIES AND SERVICES (FOR: ROMINA CONSTRUCTION),"13,106,844.50","13,106,844.50",10/10/2019,11/14/2022,National Capital Region,19OC0091,RIMJ CONSTRUCTION SUPPLIES AND SERVICES (FOR: ROMINA CONSTRUCTION),PARAÑAQUE CITY
"Construction of Basey Tide Embankment, Basey, Samar",SAMAR (WESTERN SAMAR),NORTHERN BUILDERS / RIANNE CONSTRUCTION,,,08/14/2019,08/08/2023,Region VIII,19I00115,NORTHERN BUILDERS / RIANNE CONSTRUCTION,SAMAR (WESTERN SAMAR)
"Construction/rehabilitation of slope protection and drainage, Brgy. Uno Creek, Katipunan, Zamboanga del Norte",ZAMBOANGA DEL NORTE,D' DREAMER DEVELOPMENT CORPORATION,"6,913,195.24","6,913,195.24",11/27/2020,03/31/2023,Region IX,20JB0060,D' DREAMER DEVELOPMENT CORPORATION,ZAMBOANGA DEL NORTE
"Construction of Revetment along Davao River, Sta. 3+171 to Sta. 3+440, Davao City",DAVAO DEL SUR,ABU CONSTRUCTION,"28,950,000.00","28,950,000.00",12/17/2020,03/23/2023,Region XI,20LB0292,ABU CONSTRUCTION,DAVAO DEL SUR
"Construction of Revetment along Matina River, Sta. 3+060 to Sta. 3+520, Davao City",DAVAO DEL SUR,A.Y.U. ENGINEERING & CONSTRUCTION / ABU CONSTRUCTION,"86,136,865.00","86,136,865.00",12/13/2020,03/20/2023,Region XI,20LB0027,A.Y.U. ENGINEERING & CONSTRUCTION / ABU CONSTRUCTION,DAVAO DEL SUR
"Construction of River Protection Dike, Brgy. Calian, Mangudadatu, Maguindanao",MAGUINDANAO DEL SUR,FFJJ CONSTRUCTION,"48,600,631.28","48,600,631.28",10/22/2020,02/27/2023,Bangsamoro Autonomous Region in Muslim Mindanao,20MA0119,FFJJ CONSTRUCTION,MAGUINDANAO DEL SUR
"Construction of Slope Protection Dike, Brgy. Maslabeng, Buluan, Maguindanao",MAGUINDANAO DEL SUR,FFJJ CONSTRUCTION,"48,512,932.29","48,512,932.29",09/24/2020,02/27/2023,Bangsamoro Autonomous Region in Muslim Mindanao,20MA0105,FFJJ CONSTRUCTION,MAGUINDANAO DEL SUR
"Construction of Flood Control Structures Lumintao River Magsikap Section, Rizal, Occidental Mindoro",OCCIDENTAL MINDORO,HGG BUILDERS & SUPPLY,"34,690,916.94","34,690,916.94",02/24/2020,01/02/2023,Region IV-B,20EB0054,HGG BUILDERS & SUPPLY,OCCIDENTAL MINDORO
"Construction of Flood Mitigation Structure, Davao City Div Rd, La Verna Section, Davao City",DAVAO DEL SUR,RAKKI CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"67,550,000.00","67,550,000.00",12/16/2020,12/20/2022,Region XI,20LB0014,RAKKI CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),DAVAO DEL SUR
"Construction of Revetment along Davao River, Sta. 1+095 to Sta. 1+543, Davao City",DAVAO DEL SUR,APEIRON CONSTRUCTION SOLUTIONS / ABU CONSTRUCTION,"77,523,275.00","77,523,275.00",12/10/2020,12/19/2022,Region XI,20LB0036,APEIRON CONSTRUCTION SOLUTIONS / ABU CONSTRUCTION,DAVAO DEL SUR
"Construction of Reinforced Concrete (Box Culvert Drainage) (Phase 1), Kambal Road Guitnangbayan II, San Mateo, Rizal",RIZAL,HONEYVILLECONST AND DEVELOPMENT CORPORATION,"125,449,561.50","125,449,561.50",09/10/2020,12/19/2022,Region IV-A,20D00067,HONEYVILLECONST AND DEVELOPMENT CORPORATION,RIZAL
"Construction of Detention Pond at Brgy. Mamplasan including Outfall Leading to Tributary Creek of Carmona-Biñan River, Biñan City, Laguna",LAGUNA,"R.A. PAHATI CONST. & SUPPLY, INC.","103,385,143.29","103,385,143.29",11/26/2020,12/19/2022,Region IV-A,20D00058,"R.A. PAHATI CONST. & SUPPLY, INC.",LAGUNA
